symptoms,disease,symptoms_processed
"fatigue,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue nausea loss appetite yellow eye family history
"I've been feeling really run down lately, and I just can't seem to shake this cold. My nose is always running, and I'm coughing up all this gunk. My throat is sore, and I've got a headache. I'm also feeling really tired and achy.",Common Cold,feel really run lately seem shake cold nose always run cough gunk throat sore get headache also feel really tire achy
"fatigue,cramps,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp obesity swell leg swell blood vessel prominent vein calf
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"continuous sneezing,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin swell stomach distention abdomen history alcohol consumption fluid overload
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,neck pain knee pain hip joint pain swell joint painful walk
"vomiting,headache,nausea,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea loss balance unsteadiness
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,burn micturition bladder discomfort foul smell urine continuous feel urine
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
My neck has been very tight and my muscles have felt quite weak recently. It's tough for me to move around without getting stiff because of my swollen joints. Walking has also been very uncomfortable.,Arthritis,neck tight muscle felt quite weak recently tough move around without get stiff swollen joint walk also uncomfortable
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"stomach pain,acidity,ulcers on tongue,cough,chest pain",Gerd,stomach pain acidity ulcer tongue cough chest pain
"muscle wasting,high fever,extra marital contacts",Aids,muscle waste high fever extra marital contact
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"I've been having headaches, blurred vision, and acid reflux. These symptoms have been bothering me and interfering with my usual activities.",Migraine,headache blur vision acid reflux symptom bother interfere usual activity
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
"I've been feeling really scratchy, dizzy, and worn out. I've lost weight and have a fever. My urine is dark, and my skin has turned yellow. I also get stomach pain.",Jaundice,feel really scratchy dizzy worn lose weight fever urine dark skin turn yellow also get stomach pain
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"skin rash,high fever,blister,yellow crust ooze",Impetigo,skin rash high fever blister yellow crust ooze
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"stomach pain,acidity,vomiting,cough,chest pain",Gerd,stomach pain acidity vomit cough chest pain
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"chills,fatigue,cough,high fever,breathlessness,sweating,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat phlegm chest pain fast heart rate rusty sputum
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"I have a terrible backache, and I've been coughing a lot. My arms and legs are weak, and I have trouble balancing. My neck hurts too.",Cervical Spondylosis,terrible backache cough lot arm legs weak trouble balance neck hurt
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite abdominal pain yellow eye
"fatigue,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue bruise obesity swell legs swollen blood vessel prominent vein calf
I have a burning pain in my stomach that comes and goes. I have problems swallowing and feel bloated and gassy. I have a bitter taste in my mouth.,Peptic Ulcer Disease,burn pain stomach come go problem swallow feel bloat gassy bitter taste mouth
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",Chicken Pox,itch skin rash fatigue lethargy high fever headache loss appetite mild fever swell lymph node malaise red spot body
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"chills,vomiting,fatigue,high fever,headache,nausea,abdominal pain,diarrhoea,toxic look (typhos),belly pain",Typhoid,"chill vomit fatigue high fever headache nausea abdominal pain diarrhoea toxic look typhos ), belly pain"
"I've had low temps and blood in my urine for the past three days. My pee smells terrible, and my head hurts so much. I can't control when I need to pee.",Urinary Tract Infection,low temp blood urine past three day pee smell terrible head hurt much control need pee
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
"vomiting,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit nausea spin movement loss balance unsteadiness
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"headache,chest pain,loss of balance,lack of concentration",Hypertension,headache chest pain loss balance lack concentration
"I have a rash on my skin that is itchy and has been getting worse over time. There are also some patches of skin that are different colors than the rest, and I've noticed some bumps that look like little nodes.",Fungal Infection,rash skin itchy get bad time also patch skin different color rest notice bump look like little node
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"vomiting,headache,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache alter sensorium
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain muscle pain red spot body
"I've been feeling really bad, with a high fever, shortness of breath, sweating, chills, and extreme fatigue. My heart is racing, and I've been coughing up a lot of brown phlegm.",Pneumonia,feel really bad high fever shortness breath sweat chill extreme fatigue heart race cough lot brown phlegm
"skin rash,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash blister red sore around nose yellow crust ooze
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
I have prominent blood vessels on my calves that are causing me self-consciousness and embarrassment. I believe the problem is because of my overweight.,Varicose Veins,prominent blood vessel calve cause self consciousness embarrassment believe problem overweight
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"I've been feeling really itchy, sick to my stomach, and tired. I've also had a fever and lost weight. My skin and urine have turned yellow, and my stomach hurts.",Jaundice,feel really itchy sick stomach tire also fever lose weight skin urine turn yellow stomach hurt
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"I have been experiencing headaches, as well as blurred and distorted vision, excessive hunger, a stiff neck, depression, irritability, and visual disturbance",Migraine,experience headache well blur distort vision excessive hunger stiff neck depression irritability visual disturbance
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"fatigue,cough,high fever,breathlessness,family history",Bronchial Asthma,fatigue cough high fever breathlessness family history
"fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs prominent vein calf
"itching,skin rash,stomach pain,burning micturition",Drug Reaction,itch skin rash stomach pain burning micturition
"continuous sneezing,chills,watering from eyes",Allergy,continuous sneeze chill water eye
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,stiff neck swell joint movement stiffness painful walking
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"I have a tendency to burp and belch regularly. I often get chest discomfort that radiates to my arm, jaw, and neck. My chest feels tight and stressed.",Gastroesophageal Reflux Disease,tendency burp belch regularly often get chest discomfort radiate arm jaw neck chest feel tight stress
"vomiting,headache,nausea,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea loss balance unsteadiness
I have been having frequent headaches and blurred vision.,Migraine,frequent headache blur vision
I have trouble breathing when I exercise. I sweat a lot and get hot easily. I get yeast infections a lot.,Diabetes,trouble breathe exercise sweat lot get hot easily get yeast infection lot
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,burn micturition bladder discomfort foul smell urine continuous feel urine
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"vomiting,sweating,chest pain",Heart Attack,vomit sweat chest pain
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
I've been feeling really tired and sick to my stomach. I've also been losing weight and have a fever. My urine is dark and my skin has turned yellow. I've also been having stomach pain.,Jaundice,feel really tire sick stomach also lose weight fever urine dark skin turn yellow also stomach pain
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain
I have cramps in my calves and it is difficult for me to walk. I feel tired after working for some time. I think it is because I am obese.,Varicose Veins,cramp calf difficult walk feel tired working time think obese
"continuous sneezing,chills,fatigue,cough,high fever,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"stomach pain,acidity,ulcers on tongue,cough,chest pain",Gerd,stomach pain acidity ulcer tongue cough chest pain
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
"back pain,weakness in limbs,dizziness,loss of balance",Cervical Spondylosis,back pain weakness limbs dizziness loss balance
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite abdominal pain yellow eye
"breathlessness,sweating,chest pain",Heart Attack,breathlessness sweat chest pain
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"I've been sneezing a lot, and I feel really tired. I have a lot of gunk in my nose and throat, and my throat hurts. My neck also feels swollen.",Common Cold,sneeze lot feel really tired lot gunk nose throat throat hurt neck also feel swollen
"skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,skin rash nodal skin eruption dischromic patch
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite abdominal pain yellow eye
"muscle wasting,patches in throat,high fever",Aids,muscle waste patch throat high fever
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"joint pain,vomiting,fatigue,high fever,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",Typhoid,"chill vomit fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos ), belly pain"
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
I sometimes have blood in my urine and I feel a little sick. I also sometimes have really bad smelling pee and I get really hot at night.,Urinary Tract Infection,sometimes blood urine feel little sick also sometimes really bad smell pee get really hot night
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"I've been vomiting and having diarrhea for a few days. I've also been having a fever, constipation, and headache. I'm having a hard time staying hydrated.",Typhoid,vomit diarrhea day also fever constipation headache hard time stay hydrate
"I've been having headaches, chest pain, dizziness, and trouble concentrating. I've also noticed that my balance has been off.",Hypertension,headache chest pain dizziness trouble concentrate also notice balance
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"itching,vomiting,yellowish skin,nausea,loss of appetite,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite yellow eye
"fatigue,weight loss,restlessness,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",Chicken Pox,itch skin rash fatigue lethargy high fever headache loss appetite mild fever swell lymph node malaise red spot body
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"headache,chest pain,dizziness,lack of concentration",Hypertension,headache chest pain dizziness lack concentration
"I've been really itchy lately and there are these rashy spots all over my skin. There are also some areas that don't look like the normal color of my skin, and I've had some bumps that are kind of hard. I'm not sure what it is, but I'm worried about it.",Fungal Infection,really itchy lately rashy spot skin also area look like normal color skin bump kind hard sure worry
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level obesity excessive hunger increase appetite polyuria
"I've been coughing up phlegm and my back hurts. I also feel weak and disoriented, and my neck hurts.",Cervical Spondylosis,cough phlegm back hurt also feel weak disorient neck hurt
"stomach pain,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain ulcer tongue vomit cough chest pain
I have a fever and red spots all over my body. I feel really tired and I don't want to eat anything. I'm worried about what's wrong with me.,Chicken Pox,fever red spot body feel really tire want eat anything worry wrong
"itching,vomiting,yellowish skin,nausea,loss of appetite,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite yellow eye
"skin rash,pus filled pimples,blackheads",Acne,skin rash pu fill pimple blackhead
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"skin rash,pus filled pimples,blackheads,scurring",Acne,skin rash pu fill pimple blackhead scurring
"My nose is always stuffy and congested, and my eyes are always red and itchy. I feel unwell and fatigued, and I keep coughing up this gunk. I have a scratchy, irritated throat, and my neck's lymph nodes are swollen.",Common Cold,nose always stuffy congested eye always red itchy feel unwell fatigue keep cough gunk scratchy irritate throat neck lymph node swell
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",Typhoid,"chill vomit fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos ), belly pain"
"itching,skin rash,stomach pain,spotting  urination",Drug Reaction,itch skin rash stomach pain spot urination
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"vomiting,fatigue,anxiety,sweating,headache,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
I have a rash on my nose that started out small but has gotten bigger and is now red and oozing. It hurts and I think it might be an infection.,Impetigo,rash nose start small gotten big red oozing hurt think might infection
"muscle wasting,patches in throat,high fever,extra marital contacts",Aids,muscle waste patch throat high fever extra marital contact
"chills,vomiting,fatigue,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,yellowish skin nausea loss appetite yellow eye family history
I have a rash all over my body that is red and swollen. It is itchy and uncomfortable. I also have a fever.,Chicken Pox,rash body red swollen itchy uncomfortable also fever
I've been feeling really run down and sick. I've been sneezing a lot and I can't seem to get warm. My head hurts and I feel like I have a fever.,Common Cold,feel really run sick sneezing lot seem get warm head hurt feel like fever
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity increase appetite polyuria
"fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs prominent vein calf
"vomiting,fatigue,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea excessive hunger muscle weakness irritability abnormal menstruation
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"chills,vomiting,high fever,sweating,headache,nausea,muscle pain",Malaria,chill vomit high fever sweat headache nausea muscle pain
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"muscle weakness,stiff neck,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck movement stiffness painful walking
"burning micturition,foul smell of urine,continuous feel of urine",Urinary Tract Infection,burn micturition foul smell urine continuous feel urine
"itching,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
